"text","intent","response","entities"
"hi","greet","ğŸ‘‹ Hello! How can I help you today?",""
"hello","greet","ğŸ‘‹ Hi there! Ask me about your balance, transactions, or loans.",""
"hey","greet","ğŸ‘‹ Hey! What can I do for you?",""
"good morning","greet","Good morning! How can I assist?",""
"bye","goodbye","ğŸ‘‹ Goodbye! Have a great day.",""
"goodbye","goodbye","ğŸ‘‹ See you next time.",""
"what is my balance","check_balance","ğŸ’° I can help with that. First, please provide your account number for verification.",""
"check balance","check_balance","ğŸ’° Of course. What is your account number?",""
"show my account balance","check_balance","ğŸ’° I'd be happy to check your balance. What is your account number?",""
"can you tell me my balance","check_balance","ğŸ’° I can certainly help with that. What is your account number?",""
"account balance","check_balance","ğŸ’° I can help with your account balance. Please provide your account number.",""
"check my balance","check_balance","ğŸ’° Sure! What's your account number so I can verify?",""
"show me my balance","check_balance","ğŸ’° I'd be happy to check your balance. Could you provide your account number?",""
"i want to check my balance","check_balance","ğŸ’° I can help with that. First, please provide your account number for verification.",""
"tell me my balance","check_balance","ğŸ’° Sure! May I have your account number to verify?",""
"balance inquiry","check_balance","ğŸ’° To check your balance, please provide your account number.",""
"how much money do i have","check_balance","ğŸ’° I can help with that. Please give me your account number.",""
"last transactions","transaction_inquiry","For a detailed statement, please click the 'Transactions' card on your dashboard.",""
"show transaction history","transaction_inquiry","You can see your full transaction history on the 'Transactions' page.",""
"loan","loan_inquiry","ğŸ¦ We offer Personal and Home Loans. You can explore options on the 'Loans' page.",""
"loan details","loan_inquiry","ğŸ¦ You can compare loan types and interest rates in the 'Loan' section.",""
"loan options","loan_inquiry","ğŸ¦ We provide multiple loan types. Check the 'Loans' page for details.",""
"personal loan","loan_inquiry","ğŸ¦ Our Personal Loan has flexible repayment options. Learn more on the 'Loans' page.",""
"home loan","loan_inquiry","ğŸ¦ Our Home Loan offers competitive interest rates. Visit the 'Loans' page.",""
"loan interest rate","loan_inquiry","ğŸ¦ You can check interest rates for all loans on the 'Loans' page.",""
"cards","card_inquiry","ğŸ’³ You can manage your cards on the 'Cards' page.",""
"block my card","block_card","ğŸš¨ Block your card immediately from the 'Cards' page or by calling our helpline.",""
"branch details","branch_locator","You can find all our branch addresses and timings on the 'Branches' page.",""
"find a branch","branch_locator","Please visit the 'Branches' page on your dashboard to find the one nearest to you.",""
"transfer","transfer_money","ğŸ’¸ OK, let's send some money. Who should I send it to?",""
"send money","transfer_money","ğŸ’¸ Happy to help with that. What is the name of the recipient?",""
"i need to send money","transfer_money","ğŸ’¸ I can help with that. To whom would you like to send money?",""
"make a payment","transfer_money","ğŸ’¸ OK. Who is the payment for?",""
"send 500 rupees to Teja","transfer_money","","PERSON:Teja|MONEY:500"
"transfer 1000 to Sri","transfer_money","","PERSON:Sri|MONEY:1000"
"transfer 2000 to John","transfer_money","","PERSON:John|MONEY:2000"
"send 1500 to Priya","transfer_money","","PERSON:Priya|MONEY:1500"
"i want to send 2500 to Ravi","transfer_money","","PERSON:Ravi|MONEY:2500"
"please transfer 3000 to Sita","transfer_money","","PERSON:Sita|MONEY:3000"
"my account number is 96182240","check_balance","","ACCOUNT_NUMBER:96182240"
"it's 96182240","check_balance","","ACCOUNT_NUMBER:96182240"
"thank you","thanks","You're welcome! Is there anything else I can help with?",""
"thanks","thanks","Happy to help! Let me know if you need anything else.",""
"other","out_of_scope","I can only assist with banking questions.",""
"bye","goodbye","ğŸ‘‹ Bye! Have a great day!",""
"goodbye","goodbye","ğŸ‘‹ See you soon!",""
"see you","goodbye","ğŸ‘‹ See you later!",""
"macha","greet","sollu da","admin_added"
